Iteration: 207, gbestFitness: 995873, vehicles: 95
Iteration: 208, gbestFitness: 995873, vehicles: 95
Iteration: 209, gbestFitness: 995873, vehicles: 95
Iteration: 210, gbestFitness: 995873, vehicles: 95
Iteration: 211, gbestFitness: 995873, vehicles: 95
Iteration: 212, gbestFitness: 995873, vehicles: 95
Iteration: 213, gbestFitness: 995873, vehicles: 95
Iteration: 214, gbestFitness: 995873, vehicles: 95
Iteration: 215, gbestFitness: 995873, vehicles: 95
Iteration: 216, gbestFitness: 995873, vehicles: 95
Iteration: 217, gbestFitness: 995873, vehicles: 95
Iteration: 218, gbestFitness: 995873, vehicles: 95
Iteration: 219, gbestFitness: 995873, vehicles: 95
Iteration: 220, gbestFitness: 995873, vehicles: 95
Iteration: 221, gbestFitness: 995873, vehicles: 95
Iteration: 222, gbestFitness: 995873, vehicles: 95
Iteration: 223, gbestFitness: 995873, vehicles: 95
Iteration: 224, gbestFitness: 995873, vehicles: 95
Iteration: 225, gbestFitness: 995873, vehicles: 95
Iteration: 226, gbestFitness: 995873, vehicles: 95
Iteration: 227, gbestFitness: 995873, vehicles: 95
Iteration: 228, gbestFitness: 995873, vehicles: 95
Iteration: 229, gbestFitness: 995873, vehicles: 95
Iteration: 230, gbestFitness: 995873, vehicles: 95
Iteration: 231, gbestFitness: 995873, vehicles: 95
Iteration: 232, gbestFitness: 995873, vehicles: 95
Iteration: 233, gbestFitness: 995873, vehicles: 95
Iteration: 234, gbestFitness: 995873, vehicles: 95
Iteration: 235, gbestFitness: 995873, vehicles: 95
Iteration: 236, gbestFitness: 995873, vehicles: 95
Iteration: 237, gbestFitness: 995873, vehicles: 95
Iteration: 238, gbestFitness: 995873, vehicles: 95
Iteration: 239, gbestFitness: 995873, vehicles: 95
Iteration: 240, gbestFitness: 995873, vehicles: 95
Iteration: 241, gbestFitness: 995873, vehicles: 95
Iteration: 242, gbestFitness: 995873, vehicles: 95
Iteration: 243, gbestFitness: 995873, vehicles: 95
Iteration: 244, gbestFitness: 995873, vehicles: 95
Iteration: 245, gbestFitness: 995873, vehicles: 95
Iteration: 246, gbestFitness: 995873, vehicles: 95
Iteration: 247, gbestFitness: 995873, vehicles: 95
Iteration: 248, gbestFitness: 995873, vehicles: 95
Iteration: 249, gbestFitness: 995873, vehicles: 95
Iteration: 250, gbestFitness: 995873, vehicles: 95
Iteration: 251, gbestFitness: 995873, vehicles: 95
Iteration: 252, gbestFitness: 995873, vehicles: 95
Iteration: 253, gbestFitness: 995873, vehicles: 95
Iteration: 254, gbestFitness: 995873, vehicles: 95
Iteration: 255, gbestFitness: 995873, vehicles: 95
Iteration: 256, gbestFitness: 995873, vehicles: 95
Iteration: 257, gbestFitness: 995873, vehicles: 95
Iteration: 258, gbestFitness: 995873, vehicles: 95
Iteration: 259, gbestFitness: 995873, vehicles: 95
Iteration: 260, gbestFitness: 995873, vehicles: 95
Iteration: 261, gbestFitness: 995873, vehicles: 95
Iteration: 262, gbestFitness: 995873, vehicles: 95
Iteration: 263, gbestFitness: 995873, vehicles: 95
Iteration: 264, gbestFitness: 995873, vehicles: 95
Iteration: 265, gbestFitness: 995873, vehicles: 95
Iteration: 266, gbestFitness: 995873, vehicles: 95
Iteration: 267, gbestFitness: 995873, vehicles: 95
Iteration: 268, gbestFitness: 995873, vehicles: 95
Iteration: 269, gbestFitness: 995873, vehicles: 95
Iteration: 270, gbestFitness: 995873, vehicles: 95
Iteration: 271, gbestFitness: 995873, vehicles: 95
Iteration: 272, gbestFitness: 995873, vehicles: 95
Iteration: 273, gbestFitness: 995873, vehicles: 95
Iteration: 274, gbestFitness: 995873, vehicles: 95
Iteration: 275, gbestFitness: 995873, vehicles: 95
Iteration: 276, gbestFitness: 995873, vehicles: 95
Iteration: 277, gbestFitness: 995873, vehicles: 95
Iteration: 278, gbestFitness: 995873, vehicles: 95
Iteration: 279, gbestFitness: 995873, vehicles: 95
Iteration: 280, gbestFitness: 995873, vehicles: 95
Iteration: 281, gbestFitness: 995873, vehicles: 95
Iteration: 282, gbestFitness: 995873, vehicles: 95
Iteration: 283, gbestFitness: 995873, vehicles: 95
Iteration: 284, gbestFitness: 995873, vehicles: 95
Iteration: 285, gbestFitness: 995873, vehicles: 95
Iteration: 286, gbestFitness: 995873, vehicles: 95
Iteration: 287, gbestFitness: 995873, vehicles: 95
Iteration: 288, gbestFitness: 995873, vehicles: 95
Iteration: 289, gbestFitness: 995873, vehicles: 95
Iteration: 290, gbestFitness: 995873, vehicles: 95
Iteration: 291, gbestFitness: 995873, vehicles: 95
Iteration: 292, gbestFitness: 995873, vehicles: 95
Iteration: 293, gbestFitness: 995873, vehicles: 95
Iteration: 294, gbestFitness: 995873, vehicles: 95
Iteration: 295, gbestFitness: 995873, vehicles: 95
Iteration: 296, gbestFitness: 995873, vehicles: 95
Iteration: 297, gbestFitness: 995873, vehicles: 95
Iteration: 298, gbestFitness: 995873, vehicles: 95
Iteration: 299, gbestFitness: 995873, vehicles: 95
Iteration: 300, gbestFitness: 995873, vehicles: 95
Iteration: 301, gbestFitness: 995873, vehicles: 95
Iteration: 302, gbestFitness: 995873, vehicles: 95
Iteration: 303, gbestFitness: 995873, vehicles: 95
Iteration: 304, gbestFitness: 995873, vehicles: 95
Iteration: 305, gbestFitness: 995873, vehicles: 95
Iteration: 306, gbestFitness: 995873, vehicles: 95
Iteration: 307, gbestFitness: 995873, vehicles: 95
Iteration: 308, gbestFitness: 995873, vehicles: 95
Iteration: 309, gbestFitness: 995873, vehicles: 95
Iteration: 310, gbestFitness: 995873, vehicles: 95
Iteration: 311, gbestFitness: 995873, vehicles: 95
Iteration: 312, gbestFitness: 995873, vehicles: 95
Iteration: 313, gbestFitness: 995873, vehicles: 95
Iteration: 314, gbestFitness: 995873, vehicles: 95
Iteration: 315, gbestFitness: 995873, vehicles: 95
Iteration: 316, gbestFitness: 995873, vehicles: 95
Iteration: 317, gbestFitness: 995873, vehicles: 95
Iteration: 318, gbestFitness: 995873, vehicles: 95
Iteration: 319, gbestFitness: 995873, vehicles: 95
Iteration: 320, gbestFitness: 995873, vehicles: 95
Iteration: 321, gbestFitness: 995873, vehicles: 95
Iteration: 322, gbestFitness: 995873, vehicles: 95
Iteration: 323, gbestFitness: 995873, vehicles: 95
Iteration: 324, gbestFitness: 995873, vehicles: 95
Iteration: 325, gbestFitness: 995873, vehicles: 95
Iteration: 326, gbestFitness: 995873, vehicles: 95
Iteration: 327, gbestFitness: 995873, vehicles: 95
Iteration: 328, gbestFitness: 995873, vehicles: 95
Iteration: 329, gbestFitness: 995873, vehicles: 95
Iteration: 330, gbestFitness: 995873, vehicles: 95
Iteration: 331, gbestFitness: 995873, vehicles: 95
Iteration: 332, gbestFitness: 995873, vehicles: 95
Iteration: 333, gbestFitness: 995873, vehicles: 95
Iteration: 334, gbestFitness: 995873, vehicles: 95
Iteration: 335, gbestFitness: 995873, vehicles: 95
Iteration: 336, gbestFitness: 995873, vehicles: 95
Iteration: 337, gbestFitness: 995873, vehicles: 95
Iteration: 338, gbestFitness: 995873, vehicles: 95
Iteration: 339, gbestFitness: 995873, vehicles: 95
Iteration: 340, gbestFitness: 995873, vehicles: 95
Iteration: 341, gbestFitness: 995873, vehicles: 95
Iteration: 342, gbestFitness: 995873, vehicles: 95
Iteration: 343, gbestFitness: 995873, vehicles: 95
Iteration: 344, gbestFitness: 995873, vehicles: 95
Iteration: 345, gbestFitness: 995873, vehicles: 95
Iteration: 346, gbestFitness: 995873, vehicles: 95
Iteration: 347, gbestFitness: 995873, vehicles: 95
Iteration: 348, gbestFitness: 995873, vehicles: 95
Iteration: 349, gbestFitness: 995873, vehicles: 95
Iteration: 350, gbestFitness: 995873, vehicles: 95
Iteration: 351, gbestFitness: 995873, vehicles: 95
Iteration: 352, gbestFitness: 995873, vehicles: 95
Iteration: 353, gbestFitness: 995873, vehicles: 95
Iteration: 354, gbestFitness: 995873, vehicles: 95
Iteration: 355, gbestFitness: 995873, vehicles: 95
Iteration: 356, gbestFitness: 995873, vehicles: 95
Iteration: 357, gbestFitness: 995873, vehicles: 95
Iteration: 358, gbestFitness: 995873, vehicles: 95
Iteration: 359, gbestFitness: 995873, vehicles: 95
Iteration: 360, gbestFitness: 995873, vehicles: 95
Iteration: 361, gbestFitness: 995873, vehicles: 95
Iteration: 362, gbestFitness: 995873, vehicles: 95
Iteration: 363, gbestFitness: 995873, vehicles: 95
Iteration: 364, gbestFitness: 995873, vehicles: 95
Iteration: 365, gbestFitness: 995873, vehicles: 95
Iteration: 366, gbestFitness: 995873, vehicles: 95
Iteration: 367, gbestFitness: 995873, vehicles: 95
Iteration: 368, gbestFitness: 995873, vehicles: 95
Iteration: 369, gbestFitness: 995873, vehicles: 95
Iteration: 370, gbestFitness: 995873, vehicles: 95
Iteration: 371, gbestFitness: 995873, vehicles: 95
Iteration: 372, gbestFitness: 995873, vehicles: 95
Iteration: 373, gbestFitness: 995873, vehicles: 95
Iteration: 374, gbestFitness: 995873, vehicles: 95
Iteration: 375, gbestFitness: 995873, vehicles: 95
Iteration: 376, gbestFitness: 995873, vehicles: 95
Iteration: 377, gbestFitness: 995873, vehicles: 95
Iteration: 378, gbestFitness: 995873, vehicles: 95
Iteration: 379, gbestFitness: 995873, vehicles: 95
Iteration: 380, gbestFitness: 995873, vehicles: 95
Iteration: 381, gbestFitness: 995873, vehicles: 95
Iteration: 382, gbestFitness: 995873, vehicles: 95
Iteration: 383, gbestFitness: 995873, vehicles: 95
Iteration: 384, gbestFitness: 995873, vehicles: 95
Iteration: 385, gbestFitness: 995873, vehicles: 95
Iteration: 386, gbestFitness: 995873, vehicles: 95
Iteration: 387, gbestFitness: 995873, vehicles: 95
Iteration: 388, gbestFitness: 995873, vehicles: 95
Iteration: 389, gbestFitness: 995873, vehicles: 95
Iteration: 390, gbestFitness: 995873, vehicles: 95
Iteration: 391, gbestFitness: 995873, vehicles: 95
Iteration: 392, gbestFitness: 995873, vehicles: 95
Iteration: 393, gbestFitness: 995873, vehicles: 95
Iteration: 394, gbestFitness: 995873, vehicles: 95
Iteration: 395, gbestFitness: 995873, vehicles: 95
Iteration: 396, gbestFitness: 995873, vehicles: 95
Iteration: 397, gbestFitness: 995873, vehicles: 95
Iteration: 398, gbestFitness: 995873, vehicles: 95
Iteration: 399, gbestFitness: 995873, vehicles: 95
Iteration: 400, gbestFitness: 995873, vehicles: 95
Iteration: 401, gbestFitness: 995873, vehicles: 95
Iteration: 402, gbestFitness: 995873, vehicles: 95
Iteration: 403, gbestFitness: 995873, vehicles: 95
Iteration: 404, gbestFitness: 995873, vehicles: 95
Iteration: 405, gbestFitness: 995873, vehicles: 95
Iteration: 406, gbestFitness: 995873, vehicles: 95
Iteration: 407, gbestFitness: 995873, vehicles: 95
Iteration: 408, gbestFitness: 995873, vehicles: 95
Iteration: 409, gbestFitness: 995873, vehicles: 95
Iteration: 410, gbestFitness: 995873, vehicles: 95
Iteration: 411, gbestFitness: 995873, vehicles: 95
Iteration: 412, gbestFitness: 995873, vehicles: 95
Iteration: 413, gbestFitness: 995873, vehicles: 95
Iteration: 414, gbestFitness: 995873, vehicles: 95
Iteration: 415, gbestFitness: 995873, vehicles: 95
Iteration: 416, gbestFitness: 995873, vehicles: 95
Iteration: 417, gbestFitness: 995873, vehicles: 95
Iteration: 418, gbestFitness: 995873, vehicles: 95
Iteration: 419, gbestFitness: 995873, vehicles: 95
Iteration: 420, gbestFitness: 995873, vehicles: 95
Iteration: 421, gbestFitness: 995873, vehicles: 95
Iteration: 422, gbestFitness: 995873, vehicles: 95
Iteration: 423, gbestFitness: 995873, vehicles: 95
Iteration: 424, gbestFitness: 995873, vehicles: 95
Iteration: 425, gbestFitness: 995873, vehicles: 95
Iteration: 426, gbestFitness: 995873, vehicles: 95
Iteration: 427, gbestFitness: 995873, vehicles: 95
Iteration: 428, gbestFitness: 995873, vehicles: 95
Iteration: 429, gbestFitness: 995873, vehicles: 95
Iteration: 430, gbestFitness: 995873, vehicles: 95
Iteration: 431, gbestFitness: 995873, vehicles: 95
Iteration: 432, gbestFitness: 995873, vehicles: 95
Iteration: 433, gbestFitness: 995873, vehicles: 95
Iteration: 434, gbestFitness: 995873, vehicles: 95
Iteration: 435, gbestFitness: 995873, vehicles: 95
Iteration: 436, gbestFitness: 995873, vehicles: 95
Iteration: 437, gbestFitness: 995873, vehicles: 95
Iteration: 438, gbestFitness: 995873, vehicles: 95
Iteration: 439, gbestFitness: 995873, vehicles: 95
Iteration: 440, gbestFitness: 995873, vehicles: 95
Iteration: 441, gbestFitness: 995873, vehicles: 95
Iteration: 442, gbestFitness: 995873, vehicles: 95
Iteration: 443, gbestFitness: 995873, vehicles: 95
Iteration: 444, gbestFitness: 995873, vehicles: 95
Iteration: 445, gbestFitness: 995873, vehicles: 95
